L I	L III	L II(Calc.)
0.296631	-0.0918579	0.204773
0.287476	-0.0866699	0.200806
0.276794	-0.0814819	0.195313
0.264282	-0.0756836	0.188599
0.250244	-0.0695801	0.180664
0.235596	-0.0628662	0.172729
0.220032	-0.0561523	0.163879
0.204163	-0.0497437	0.154419
0.187683	-0.0439453	0.143738
0.171509	-0.0384521	0.133057
0.155029	-0.0332642	0.121765
0.13916	-0.0292969	0.109863
0.123901	-0.0259399	0.0979614
0.108948	-0.0228882	0.0860596
0.0942993	-0.0204468	0.0738525
0.0802612	-0.0183105	0.0619507
0.0668335	-0.0167847	0.0500488
0.0540161	-0.015564	0.0384521
0.0421143	-0.0149536	0.0271606
0.0314331	-0.0149536	0.0164795
0.0213623	-0.015564	0.00579834
0.012207	-0.0158691	-0.00366211
0.00396729	-0.0158691	-0.0119019
-0.00305176	-0.0161743	-0.0192261
-0.00854492	-0.0167847	-0.0253296
-0.0137329	-0.0177002	-0.0314331
-0.0186157	-0.0189209	-0.0375366
-0.022583	-0.0198364	-0.0424194
-0.0262451	-0.0204468	-0.0466919
-0.0289917	-0.0213623	-0.050354
-0.0320435	-0.0219727	-0.0540161
-0.0344849	-0.0228882	-0.057373
-0.0366211	-0.0238037	-0.0604248
-0.0384521	-0.0247192	-0.0631714
-0.039978	-0.0256348	-0.0656128
-0.0408936	-0.0259399	-0.0668335
-0.0411987	-0.0265503	-0.067749
-0.0415039	-0.0274658	-0.0689697
-0.0424194	-0.0280762	-0.0704956
-0.0427246	-0.0286865	-0.0714111
-0.0427246	-0.0292969	-0.0720215
-0.0424194	-0.0299072	-0.0723267
-0.0415039	-0.0302124	-0.0717163
-0.0405884	-0.0305176	-0.071106
-0.039978	-0.0305176	-0.0704956
-0.0390625	-0.0305176	-0.0695801
-0.038147	-0.0305176	-0.0686646
-0.0375366	-0.0302124	-0.067749
-0.0366211	-0.0299072	-0.0665283
-0.0360107	-0.0296021	-0.0656128
-0.0354004	-0.0289917	-0.0643921
-0.03479	-0.0283813	-0.0631714
-0.0341797	-0.0286865	-0.0628662
-0.0335693	-0.0292969	-0.0628662
-0.032959	-0.0302124	-0.0631714
-0.0323486	-0.0311279	-0.0634766
-0.0314331	-0.0323486	-0.0637817
-0.0308228	-0.0335693	-0.0643921
-0.0299072	-0.03479	-0.0646973
-0.0283813	-0.0357056	-0.0640869
-0.0268555	-0.0363159	-0.0631714
-0.0253296	-0.0366211	-0.0619507
-0.0241089	-0.0363159	-0.0604248
-0.0234985	-0.0357056	-0.0592041
-0.022583	-0.03479	-0.057373
-0.022583	-0.0332642	-0.0558472
-0.0231934	-0.0323486	-0.055542
-0.0234985	-0.0317383	-0.0552368
-0.0234985	-0.0314331	-0.0549316
-0.0241089	-0.0314331	-0.055542
-0.0247192	-0.0314331	-0.0561523
-0.0259399	-0.0317383	-0.0576782
-0.0262451	-0.0323486	-0.0585938
-0.0262451	-0.032959	-0.0592041
-0.0256348	-0.032959	-0.0585938
-0.0253296	-0.0326538	-0.0579834
-0.0247192	-0.0320435	-0.0567627
-0.0238037	-0.0311279	-0.0549316
-0.0231934	-0.0302124	-0.0534058
-0.0222778	-0.0292969	-0.0515747
-0.0216675	-0.0286865	-0.050354
-0.0216675	-0.027771	-0.0494385
-0.0219727	-0.0274658	-0.0494385
-0.0219727	-0.0271606	-0.0491333
-0.0219727	-0.0274658	-0.0494385
-0.0219727	-0.027771	-0.0497437
-0.0222778	-0.0286865	-0.0509644
-0.022583	-0.0289917	-0.0515747
-0.0231934	-0.0296021	-0.0527954
-0.0231934	-0.0299072	-0.0531006
-0.0228882	-0.0302124	-0.0531006
-0.0228882	-0.0302124	-0.0531006
-0.0231934	-0.0302124	-0.0534058
-0.0234985	-0.0302124	-0.0537109
-0.0234985	-0.0302124	-0.0537109
-0.0238037	-0.0308228	-0.0546265
