Stethoscope	ECG
0.110474	-0.0387573
0.166626	-0.0393677
0.1651	-0.039978
0.140381	-0.0415039
0.0961304	-0.043335
0.0390625	-0.0445557
-0.0302124	-0.0460815
-0.105286	-0.0485229
-0.152283	-0.0509644
-0.157776	-0.0521851
-0.133057	-0.0537109
-0.0869751	-0.0552368
-0.0268555	-0.0561523
0.0558472	-0.0564575
0.146484	-0.0558472
0.195923	-0.0546265
0.184937	-0.0521851
0.126343	-0.0494385
0.0576782	-0.0473022
-0.00640869	-0.0463867
-0.06073	-0.0469971
-0.0942993	-0.0485229
-0.118103	-0.050354
-0.124512	-0.0521851
-0.0897217	-0.0540161
-0.0543213	-0.0558472
-0.0268555	-0.057373
0.0497437	-0.0582886
0.111084	-0.0588989
0.122986	-0.0592041
0.102234	-0.0585938
0.0460815	-0.0567627
-0.0131226	-0.0549316
-0.055542	-0.0537109
-0.0900269	-0.0531006
-0.123291	-0.0531006
-0.148621	-0.0527954
-0.142212	-0.0521851
-0.0704956	-0.0512695
0.0421143	-0.0494385
0.145264	-0.0466919
0.20874	-0.0424194
0.198059	-0.0363159
0.133667	-0.0289917
0.0695801	-0.020752
0.0189209	-0.0112915
-0.0476074	-0.00183105
-0.119629	0.00732422
-0.151978	0.0158691
-0.140381	0.0241089
-0.118713	0.0320435
-0.104675	0.0384521
-0.078125	0.0424194
-0.0332642	0.0445557
0.0296021	0.0460815
0.0933838	0.0488281
0.136414	0.0524902
0.131531	0.0576782
0.107117	0.0631714
0.0738525	0.0692749
0.0271606	0.0753784
-0.0137329	0.0814819
-0.0265503	0.0875854
-0.0213623	0.0921631
-0.022583	0.0942993
-0.0375366	0.0933838
-0.06073	0.0900269
-0.0827026	0.0839233
-0.0628662	0.0756836
-0.010376	0.0650024
0.0186157	0.0534058
0.0186157	0.0415039
0.00366211	0.0292969
0.00427246	0.0170898
0.0408936	0.00549316
0.0646973	-0.00549316
0.0436401	-0.0161743
-0.00793457	-0.0271606
-0.0476074	-0.038147
-0.0552368	-0.0479126
-0.039978	-0.0564575
-0.0112915	-0.0640869
0.0210571	-0.0708008
0.039978	-0.0769043
0.0463867	-0.0814819
0.0177002	-0.0836182
-0.0354004	-0.0845337
-0.0485229	-0.0848389
-0.0289917	-0.0845337
0.00915527	-0.0839233
0.0430298	-0.083313
0.0616455	-0.083313
0.0692749	-0.083313
0.0598145	-0.0839233
0.0308228	-0.0848389
0.00335693	-0.0863647
-0.0372314	-0.0878906
-0.085144	-0.0897217
-0.0982666	-0.0912476
-0.0744629	-0.0924683
